,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
495,Oprl1,Pkd1l2,Nrg1,Rph3al,Gal,Cfap299,Mns1,Diras2,Gpr162,Olfr273,Dnah12,Sctr,Xaf1,Rreb1,Itih4,Cxcl10,Slc14a2,Ak8,Col6a5,Kif14
496,Nell2,Pcsk4,Col19a1,Col8a2,Ccl2,Ccl2,Rab37,Them6,Fam43a,Prr33,Cxcl13,Cnr2,Kcnk9,Trp53i11,Mylk2,Rrm2,Slc44a3,Pkd1l2,Ntn4,Cabcoco1
497,Carmil2,Kif27,Pdcd4,Kcnmb1,Cmah,Chia1,Xaf1,Snap47,Ucn,Alox12b,Ccl3,Cr2,Nrn1,Grb10,Crygn,Cr2,AI182371,H2-Q2,Ccdc170,Trim58
498,Rec8,Ak8,Dnal1,Gtse1,Zbbx,Cmah,Il15,Cartpt,Adgrl4,Fbxo47,Lrrc23,Cxcl13,Hoxd4,Kif6,Espn,Iglc2,Kif4,Lpar2,Lyz1,Dlgap5
499,Uhrf1bp1,Lpar2,Flvcr1,Pi15,Ccdc60,Ccdc60,Vwf,Rpgr,Sgms1,Itgb1bp2,Trh,Wdr49,Hic1,Slit3,Pgam2,Wnk4,Shcbp1,Kif27,Cd69,Pde6b
500,Sgms1,H2-Q2,Camk2a,Zc3h12d,Ppp1r32,Ppp1r32,Dok2,Adcyap1,Cacna2d2,Styxl1,Stk33,Clec9a,Laptm5,Ttc29,Ms4a1,Lpl,Scnn1a,Pcsk4,Dnah2,Fabp4
501,Pip5kl1,Ctsw,Slc30a3,Ccdc146,Trbv16,Zbbx,Slc36a2,Klf2,Arhgef1,Kcne2,Phf11b,Dnah12,Col9a2,Cd82,Tmem232,Uhrf1,Ccdc150,Tnf,Cxcr3,Kcng2
502,Meis2,Cfap299,Ighm,Fam92b,Cd109,Trh,Islr,Grap,Glis3,Igkv8-30,Myh4,Ifi205,Ap3b2,Cfap157,Ch25h,Dnase1l3,Cdc6,Ascl2,Ttc16,Pcdhb6
503,Gas6,Ascl2,Nxph4,Rab38,Cxcl13,Clec9a,Col5a1,Mapk10,Erich3,Fcnb,Gkn3,Phf11b,Oprm1,Cemip2,Nos2,Hspb8,Slc24a5,Ms4a4a,Cox8b,Angptl1
504,Pcsk1,Hist1h2ap,Atp1a1,Sypl2,Dnah12,Wdr49,Sgms1,Rab15,Ascc1,Tmem74bos,Ubash3a,Stk33,Samd5,Irgm1,Ccdc121,Slc6a12,E2f8,Cfap299,Nme5,Pklr
505,Foxp4,Ankle1,Col11a2,Rgs1,Wdr49,Cd109,Celsr1,Uts2,Gucy1a1,Krt18,Cdhr3,Gkn3,Dennd6b,Jph2,Dsp,Iqgap2,Gsg1,Ccl2,Cxcl16,Cenpe
506,Elavl4,Ccl2,Nppc,Zfp273,Clec9a,Dnah12,Hbb-bs,Mybpc1,Higd1b,Trbv12-2,Slc6a12,Scnn1a,Doc2a,Ppp1r18,Ttc25,Cd55,Plaat5,Foxm1,Gpr179,Dnaaf1
507,Slc32a1,Mgl2,Syt1,Clec2i,Cr2,Cxcl13,Map3k9,Elavl4,Cd83,Pabpc1l,Grp,Vwa3a,Slc6a5,Ccdc65,Cnr2,Btg2,Zc3h12d,Ccdc60,Cd6,Rsph14
508,Aatk,Fam167a,Endog,Baiap2l1,Blk,Cr2,Nrgn,Tfrc,Gadd45g,Henmt1,Vwa3a,Ccdc81,Ece2,Neurl1b,Nanos3,Lyz1,Cfap74,Ppp1r32,Dok2,Dytn
509,Trim66,Cmah,Gfra1,Ifit1,Cnr2,Gpr182,Synpo2,Aifm3,Otud7a,Hist1h1t,Ccdc81,Ubash3a,Prrt4,Fgfr3,Tsnaxip1,Asap3,Calml4,Cmah,Neurl1b,Htr5b
510,Ccdc74a,Zbbx,Col11a1,Pi16,Ifi205,Scnn1a,Isg20,Hspb6,Sox2,F10,Pi15,Grp,Uhrf1bp1,Cbarp,Dnah7b,Tm4sf1,Gnb3,Zbbx,Gpr174,Baz1a
511,Nefm,Ppp1r32,Ift81,Lrrc74b,Gkn3,Gkn3,Stab1,Ggt7,Rasal1,Col6a6,Kcnmb1,Slc6a12,Gja4,Nek11,Col20a1,Top2a,Tlr11,Chia1,Nek5,Hcrtr2
512,Ift81,Chia1,Morc2b,Spag6l,Scnn1a,Phf11b,Wdr90,Wnk2,Sphkap,Mmp3,Gtse1,Cdhr3,Cpne6,Foxp4,Cfap206,Rreb1,Il19,Cd109,Cfap73,Lpar2
513,Amigo2,Rassf10,Pnma3,Dnah10,Stk33,Stk33,Cdca8,Kit,Itga1,Pln,Zc3h12d,Fhad1,A2m,Efcab12,Plin5,Rem1,Sdc1,Dnah12,Eps8l2,Zfp951
514,Coq8b,Vwa5b1,Nyap2,Lrriq1,Myh4,Hrk,Htra3,Cd109,L3mbtl1,Kcnh8,Col8a2,Spef2,Zc3hav1,Fli1,Cox6a2,Prickle3,Rnf2,Cr2,Daw1,Cd7
515,Col11a2,Cd5,Acan,Ccdc33,Phf11b,Pde4c,Igkv1-122,Map3k20,Slc7a5,Lrrk1,Ccdc146,Rgs1,Unc13a,Abcc9,Tmem40,S100a9,Dynlrb2,Gpr182,Gas2l2,Cfap57
516,Col18a1,Wdr49,Slc6a7,Ifi27l2a,Slc10a4,Ubash3a,Col6a5,Srgn,Adap2,Cpa6,Sctr,Rab38,Sphkap,Art3,Nms,Trim34a,Atp2b4,Cxcl13,Postn,Tcte1
517,Hes5,Cd109,Cldn5,Foxd3,Grp,Grp,Igkv4-72,Sh2b3,Gpc5,C1ql4,Nudt17,Zfp273,Fli1,Wnk2,Iglc2,Ifih1,Col6a5,Clec9a,Lpar2,H2-M2
518,Nmu,Dnah12,Mcl1,Foxp3,Cdhr3,Vwa3a,Dusp5,Otp,Nkx2-2,Slc30a2,Rab38,Clec2i,Kcnj14,Cacna1g,Olfr78,Itgae,Pth2r,Phf11b,Kif27,Mnx1
519,Cacng5,Cr2,Mafa,Iqcd,Slc6a12,Slc6a12,Matn2,Id1,Gjc3,Atp1b4,Fam92b,Susd5,Glis3,Pklr,Pdlim3,Oas1a,Nek11,Scnn1a,Ak8,Hspa1b
520,Pou4f1,Cxcl13,Rnf207,Cabcoco1,Ccdc81,Cdhr3,Mmp3,Calca,Thap1,Qrfprl,Sypl2,Spag6l,Kcnab1,Dytn,Dnah1,Col28a1,Dnase1l3,Stk33,H2-Q2,BC030867
521,Clstn2,Gal,Thpo,Smim38,Vwa3a,Ccdc81,Ms4a4a,Cmpk2,Adcyap1,Gfy,Rgs1,Dnah10,Tmem25,Ect2l,Ckmt2,Hsh2d,Dlgap5,Fam167a,Pkd1l2,B3gnt5
522,Itih3,Scnn1a,S100a10,Slc4a9,AA467197,Kcnj8,Nr4a3,Susd5,Hap1,Treml1,Clec2i,Lrriq1,Elavl2,Pold1,Tnfaip8l3,Itgax,Krt18,Ccdc81,Uhrf1,Ch25h
523,Csk,Ccdc81,Ccdc74a,Postn,Gtse1,Sctr,Irf7,Atp13a2,Vwa5b1,Mindy4b-ps,Zfp273,Rfx2,Trem2,Rasgrp3,Ighg3,Baiap2,Aldh3b2,Cdhr3,Ascl2,Isl1
524,Col27a1,Cdhr3,Ly6e,Igha,Ccdc146,Kcnmb1,Clec14a,Spef1,Cald1,Wfdc8,AA467197,Slc4a9,Ptpn5,Sept5,Nme9,Ifi211,Bhlha15,Vwa3a,Cfap299,Tnfsf9
525,Th,Kcnmb1,Cd83,Nat2,Kcnmb1,Gtse1,Rarres2,Kcnd2,H2-M3,Ntf3,Spag6l,Iqcd,Six5,Ankrd66,Lrp2,Ramp2,Itgb1bp2,Grp,Efcab12,Nek2
526,Tmeff2,Ccdc146,Mal,Ubd,Mb,Zc3h12d,Mrvi1,Igtp,Car4,Clec4d,Dnah10,Ubd,Rbpms,Got1l1,Kcnh8,Cd6,Cd28,Ubash3a,Wnk4,Il1b
527,Cables1,Pi15,Rec8,Lrrc71,Twist1,Col8a2,Thbd,Hoxc13,Grin2d,Ttc6,Lrrc74b,Cfap47,Calr4,Ifih1,Pln,Dusp5,Ttc16,Ccdc146,Ccl2,Drc7
528,Drp2,Hvcn1,Gucy1a1,Hs3st2,Fam92b,Nfkbie,Madcam1,Cd86,Tro,Npffr1,Ccdc33,Lrrc71,Daxx,Myb,Cfap45,C1qtnf3,C1qtnf3,Col8a2,Obscn,Tsnaxip1
529,Flt1,Fam92b,Foxp4,Myl2,Sypl2,Rab38,Ngfr,Ppil6,Map3k20,Syna,Ttc21a,Tekt1,Sema3g,Fam107b,Ccdc89,Cmah,Pcdhb6,Zc3h12d,Chia1,Wfdc18
530,Samd5,Rab38,Cldn11,Ttll6,Rgs1,Fam92b,Myo7a,Arvcf,Flt1,Pla2g4f,Cabcoco1,Dynlrb2,Plcxd3,Plin5,B3gnt4,Igtp,Zbtb42,Pi15,Ppp1r32,Zbbx
531,Hoxd11,Zmynd10,Doc2a,Ifi211,Ccn2,Rgs1,Aire,Tesc,Kcng1,Slc17a7,Slc4a9,Lrguk,Epha10,Ntn4,Ccl17,Nr4a3,Foxp3,Kcnmb1,Ccdc60,Dmkn
532,Endog,Cxcr4,Tpbg,Mak,Des,Baiap2l1,Gpr182,Gper1,Sapcd2,Crct1,Smim38,Tnf,Hspa2,Efcab1,Gpr171,Gpr171,Cyp26b1,Sypl2,Cmah,Gpr139
533,Ptp4a3,C1qtnf3,Col16a1,Spag16,Zfp273,Zfp273,Col15a1,Myl9,Tbx2,Dmrt2,Iqcd,H2-Q4,Slc30a3,Slc6a11,Oasl1,Ccl17,Prok1,Rab38,Zbbx,Il1rapl2
534,Pgbd5,Psd4,Oprl1,B3gnt5,Clec2i,Lrriq1,Gjb2,Samd5,Hip1r,Iqcd,Foxd3,Nr4a3,Map3k20,Hif3a,Rbm24,Usp18,Slpi,Rgs1,Calr4,Ttc29
535,Slc6a5,Dnah10,Kcnc2,Cfap43,Baiap2l1,Dnah10,Ascc1,Casc1,Grasp,Serinc4,Foxp3,Sapcd2,Carmil3,Ribc2,Hsh2d,Celsr1,Cenpe,Fam92b,P3h2,Vip
536,Dffa,Spag6l,Grik3,Adh1,Btk,Ccdc33,Itga1,Snx2,Myo1c,Cnksr1,Ubd,Ttll6,Unc5a,Nlrc5,Crocc2,Mef2c,Ces2g,Zfp273,Foxd1,Tctex1d4
537,Tfrc,Lrriq1,Snx2,Drc7,Ccdc33,Lrrc74b,Olfml2a,Bhlhe22,Myt1l,Slpi,Nat2,Myl2,Irf1,Gkn3,Il15,Cnr2,Trim55,Clec2i,Dnah12,Tcp11
538,Stk36,Lrrc74b,Col25a1,Ms4a6c,Spag6l,Spag6l,Aox3,Sp8,Jag2,Actg2,Cdca3,Enkur,Kcnj8,Baiap3,Ptger1,Mmp25,Hspb6,Vwf,Clec9a,Cfap206
539,Il34,Ccdc33,Plcxd3,Cfap61,Lrrc74b,Foxd3,Hic1,Rhbdl2,Slco1c1,Cdkn2a,Btk,Ccl4,Cfap74,Susd5,Ffar1,Cd86,Sbk2,Lrriq1,Cr2,Dnali1
540,Nxph4,Prickle3,Csk,Tmem212,Gimap9,Slc4a9,Ccn2,Ppp1r18,Ramp2,Slc26a7,Lat,Foxm1,Ecel1,Clec14a,Ccdc40,Cd28,Olfr267,Ccdc33,Wdr49,Clec9a
541,Stat2,Ms4a6c,Tctn1,Pgam2,Cd3e,Iqcd,Gadd45g,Sprr1a,Pclo,Trpv6,Lrrc71,Neurl1b,Ddx60,Syt10,Dnah6,Zc3h12d,Pdcd1lg2,Lrrc74b,Cxcl13,Ccdc113
542,Col6a2,Smim38,Gadd45g,Kcnj8,Smim38,Smim38,Map3k20,Nap1l2,Ccm2l,Grpr,Lilrb4a,Mak,Gucy1a1,Gpc3,Calcb,Actn1,Saa1,Dnah10,Lrrc23,Sp9
543,Rasa4,Cabcoco1,Tprn,Dnah11,Slc4a9,Ubd,Six5,Chodl,Snx2,Prok1,Rem1,Hoxc13,Pnck,Ptprn2,Dnase1l3,Grasp,Tslp,Spag6l,Cxcr4,Frmpd2
544,Nos1ap,Iqcd,Tesc,Ttc25,Cabcoco1,Nat2,Gapt,Ifih1,Abcc8,Hsf2bp,Myl2,Snai1,Cartpt,Pik3r3,Ribc2,Ffar1,Madcam1,Slc4a9,Pou2f2,Kcng1
545,Slc25a18,Foxp3,Frmd4a,Spata17,Cd19,Rem1,Dapl1,Gas6,Smpd4,Mroh8,Ttll6,Adh1,Kcnq4,Mypop,Nek11,Irf7,Mmp25,Foxp3,Phf11b,Dnah1
546,Gpld1,Slc4a9,Baiap2,Dlec1,Jph2,Zik1,Igfbp2,Timp1,Phf24,Cxcr4,Mak,Slc15a3,Samhd1,Casc1,Dnah5,Ccl7,Itih2,Foxd3,Myh4,Ckmt2
547,Kcnq4,Meig1,Grid2ip,Casc1,Dusp2,Lrrc71,Foxd1,E2f8,Meis2,Sp9,Hoxc13,Matn4,Dusp1,Tctex1d4,Ifi205,B3gnt5,Fhad1,Iqcd,Stk33,Phf11b
548,Aldh1l2,AA467197,Adcyap1,Lmod1,Rfx2,Plin4,Bhlha15,Ifi27l2a,Oas1a,Uts2b,Spag16,Nme5,Myh11,Ctla2a,Cxcr3,Itga1,Cfap70,Cabcoco1,Celsr1,Myh4
549,Tcof1,Ak7,Olig2,Ubxn10,Lrrc71,Plbd1,Ctsw,Cadm3,Notch3,Grifin,Isg20,Fam167a,Unc13b,Cfap52,Cd69,Arid3b,Krt77,Smim38,Iglc1,Mcam
550,Gal,Lrrc71,Tspan2,Actn2,Aldh1a2,Ttll6,Col28a1,Slc10a4,Actn2,Nppb,Lrrc9,Tmem212,Pde4c,Pth2r,Lyz1,Tlr11,Fam124b,Foxf1,Cdhr3,Rhbdl2
551,Nos1,Cd3e,Myrf,Iglc2,Gprc5c,Ifi211,H2-M2,Epb41,Hspa2,Them5,Drc7,Pgam2,Clstn2,Fbln5,Mlf1,Acvrl1,Wnt10b,Egr2,Ccdc81,Rxfp1
552,Shisal1,Ifi211,Egr1,Sbspon,Tekt1,Spag8,Myoc,Thbs2,Trem2,Saa1,Cfap43,Cfap61,Sigirr,Dcn,Cox8b,Aire,Cd8a,Nat2,Grp,Myocd
553,Sh3bgrl2,Myl2,Grm8,Hist1h2ap,F2r,Mak,Spdl1,Tnfrsf12a,Ift81,Teddm2,Adh1,Wdr66,Mafa,Spata33,Dnah2,Nudt17,Cfap161,Ubd,Vwa3a,Stoml3
554,Actn2,Ttll6,Stat2,Sp8,Ngfr,Hoxc13,Tbx21,Foxm1,Npas1,Pdcd1lg2,Neu4,Ctsw,Sh2b3,Mapk10,Gper1,Rasgrp3,Cd300lg,Cacng5,Ptpn7,Ttc25
555,Dock6,Bmp4,Syt6,Ankle1,Ttll6,B3gnt5,Cebpd,Pnpla3,Chn2,Madcam1,Pih1d2,Ptpn7,Inhba,Mef2c,Clec14a,Gpr182,Magix,Lrrc71,Pde4c,Rd3
556,Tchh,Pi16,Eogt,Calca,Ifi211,Spag16,Lmo4,Ccdc162,Plek,Ush1g,Pgam2,Dnah11,Inha,Ccdc151,Cd6,Btk,Sowahb,Ifi211,Ms4a6c,Tbx21
557,Bhlhe22,Hoxc13,Nell2,Cd28,Lox,Cfap43,Pdgfrb,Pim1,Slc6a17,Top2a,Tmem212,Spata17,Tapbp,Vars,Cfap73,Ighg3,Klhl10,Ttll6,Pi15,Gp1bb
558,Lhfpl5,Spag16,Ltbp4,Rgs22,Sapcd2,Drc7,Amigo2,Wfdc18,Cxcl12,Myocd,Cxcr5,Dlec1,Rab36,Gprasp1,Gpr174,Isg20,Echdc3,Myl2,Ccdc146,Akap14
559,Nmbr,B3gnt5,Grk6,Ccdc89,Pih1d2,Cfap61,Ogn,Add2,Trim14,Gpr182,Dnah11,Iglc2,Crabp1,Usp18,Gas2l2,Ccl1,Tex43,Col8a1,Zc3h12d,Fibcd1
560,Trh,Dynlrb2,Kcnj9,Aoc3,Efhc1,Tmem212,Phf19,Vtn,Fam107b,Rnf39,Spata17,Spata33,Tbc1d24,Tnfaip8,Nek5,Icam2,Shisal2a,Col1a2,Gtse1,Slc14a2
561,Ulk4,Smim5,Grm5,Gal,Spag16,Spata17,Pitpnm1,Tmem40,Csf3r,Tlr11,Ubxn10,Ifi209,Kcns3,Herc6,Daw1,Ahsg,Alas2,Spag16,Col8a2,Arvcf
562,Ralgps2,Cfap43,Plekha1,B3gnt4,B3gnt5,Ttc25,Ch25h,Tmem123,Stat1,Dthd1,Lmod1,Vwf,Nts,Csk,Lta,Cd69,Rassf9,Hoxc13,Kcnmb1,Got1l1
563,Kcnn3,F2r,Hoxd11,Nmu,Mak,Dlec1,Ect2,Kcng1,Hic1,Kif14,Dlec1,Ms4a6c,Gria3,Sh3rf3,Pkd1l2,Flnc,Dtl,B3gnt5,Tnfaip3,AC151602.1
564,Oprm1,Ccr6,Rab37,Fam166b,Hoxc13,Lmod1,Stra6,Sp9,Camsap3,Ccdc40,Rassf10,Cd28,Vcan,Rogdi,H2-Q2,Pdlim4,Hist2h2aa1,Mak,Eln,Cfap157
565,Sh2b3,Gprc5c,Tchh,Rbm24,Drc7,Casc1,Igkv8-30,Syt17,Oprl1,Gfra3,Sp140,Rgs22,Rgs4,Peg3,Pcsk4,Tgm1,Vsig2,Drc7,Sypl2,Il2ra
566,Grp,Tmem212,Foxj1,Comp,Grap2,Ubxn10,Slpi,Prr16,Afap1l2,Csrp3,Lgals3,Itgae,Sgsm1,Foxd1,Ak8,Dok2,Igkv4-72,Cfap43,Rgs1,Asb14
567,Ttll3,Pgam2,Slco1a4,Fank1,Fcrla,Iglc2,She,Tgm1,Efr3b,Krt77,Iglc2,Fam129c,Sp100,Tmem108,Kif27,Mmp3,Kit,Des,Rab38,Acss3
568,Kcnk3,Cfap61,Sox9,Map3k7cl,Postn,Ankle1,Rem1,Mrvi1,Lpl,Fbxl13,Zfp488,Calr4,Lmnb1,Olfm1,Ascl2,F10,Pdzk1ip1,Cfap61,Fam92b,Ankle1
569,Rasal1,Tnf,Sox11,Syt10,Cfap61,Sp8,Tnfrsf17,Syt3,Itgam,Cd300lg,Rgs22,Ccdc89,Psmb9,Irf1,Apobec2,Dlgap5,Ctse,Pgam2,Syt17,Hist1h2ap
570,Wtip,Islr,Sh2b3,Dnah6,Pgam2,Itgae,Chaf1b,Carmil2,Unc5a,Cfap70,Eno4,Ccl3,Hoxd3,Olfr78,Ccdc60,Rph3al,Ect2,Tmem212,Prickle3,Timp1
571,Cd83,Dnah11,Mpzl1,Slc36a2,Stat4,Rgs22,Sdc1,Tmem132a,Xkr6,Oasl2,Ccdc89,Lrrc23,Elavl4,Itgb4,Zbbx,Rassf9,Izumo1r,Sema3e,Clec2i,Ccl17
572,Tmem41a,Spata17,Pnpla3,Tmc8,Ttc25,Cd28,Slco2a1,Lama5,Arhgap29,Csf2rb,Wnt6,Aox3,Nell2,Efhc1,Ppp1r32,Ccl22,Rrm2,Ttc25,Baiap2l1,Trim68
573,Hcrtr1,Ttc25,Zfp941,Lrrc36,Dnah11,Ccdc89,Dtl,Degs2,Slc19a1,Akap14,Gal,Gal,Myl9,Prepl,Chia1,H2-M2,Acad12,Dnah11,Lrriq1,Smim5
574,Jun,Efcab1,Sema3f,Zmynd10,Spata17,B3gnt4,Cxcr3,Usp18,Ezr,Bhlha15,Aoc3,Aoc3,Necab2,Ak8,Jph2,Egr2,Lhx6,Spata17,Spag6l,Baiap2l1
575,Frmd4a,Gjb2,Oprm1,Slc10a4,Cd5,Aoc3,Cd163l1,Slc6a5,Slc9a5,Shisal2a,B3gnt4,B3gnt4,Bcl2l12,Kalrn,Sbspon,Ankle1,Rxfp3,Lrg1,Lrrc74b,Zfp273
576,Morc2b,Lmod1,Daxx,Cpne7,Trpc4,Gal,Trbv13-1,Rem1,Prr16,Klkb1,Ifi209,Neu4,Lrrc45,Rrm2,Wdr49,Tnfsf9,Pdlim3,Itih2,Ccdc33,Srd5a2
577,Gucy1a1,Dlec1,Egfl7,Ifi203,Lmod1,Cfap54,Cass4,Epcam,Cacng5,Tex43,Nmu,Nmu,Pou4f1,Cdkn1a,Cr2,Rgs1,Wnt2b,Ubxn10,Jchain,Sstr4
578,Efnb3,Ubxn10,Flna,Lta,Casc1,Fam166b,AI987944,Neurl1b,Mycbpap,Armc4,Fam166b,Rbm24,Tac2,Slc4a8,Clec9a,Clec10a,Cyp1b1,Lmod1,Smim38,Crocc2
579,Sv2b,Iglc2,Fam149a,Lox,Dlec1,Fank1,Cacnb3,Rec8,Onecut2,March10,Map3k7cl,Fam166b,Acss3,Hs3st1,Cfap47,Rrad,Dnali1,Casc1,Foxd3,Ptger1
580,Man1a,Sp8,Grik1,Rsph4a,Ubxn10,Nmu,Slc6a20a,Zik1,Lgals3,Slc22a6,Fank1,Dnah6,Grm7,Dthd1,Phf11b,Fgd5,Rslcan18,Dlec1,Cabcoco1,Hsh2d
581,March11,Rgs22,Lmnb1,Dnali1,Acta2,Dnah6,Clec9a,Uts2b,Bhlhe22,Klhl10,Rbm24,Cxcl9,Gper1,Elmod1,Gkn3,Iigp1,Syt15,Gldn,Iqcd,Ccdc40
582,Ppp1r16b,Itgae,Sphkap,Meig1,Uhrf1,Zmynd10,Slfn5,Sox11,Ubap1l,Mei4,Izumo1r,Mycbpap,Sapcd2,Lmnb1,Stk33,Cd209c,Ttc25,Iglc2,Ubd,Cfap52
583,Wdr90,Ctla2a,Ubxn11,Sp140,Bank1,Slc10a4,Pdlim4,Hdac6,Gprasp1,Sowahb,Dnah6,Syt17,Synpr,Habp4,Myh4,Trim68,Cfap45,Rfx2,Nat2,Slc26a3
584,Rgs5,Plau,Slco1c1,Fam216b,Mndal,Mycbpap,Tm4sf1,Trim68,Nrip2,Camp,Mrvi1,Hist1h2ae,Grm5,Smpd4,C1s1,Ms4a4d,Piwil2,Hist1h2ap,Btk,Ttc34
585,S100a10,Ccdc89,Nup210,Ak7,Sp8,Lta,Nudt17,Nek5,H2-Q2,Enpp3,Ifi205,Slc10a4,Ift81,Tcte1,Abcb1a,Adamtsl1,AI987944,Sp8,Cdca3,Lmod2
586,Thpo,Spata33,Rreb1,Dusp5,Ankle1,Meig1,Iqgap2,Herc6,Sh2d5,Grhl3,Trbc1,Lrrc36,Elmod1,Serping1,Vwa3a,Egr1,Armh1,Rgs22,Lrrc71,Nek11
587,Slit2,Postn,Grin2c,Apobec2,Cxcr4,Dnali1,Adh1,Lrrc9,Bcl2,Zpbp,Slc10a4,Adam33,Trim34a,Bcl2l12,Cdhr3,Samd3,Cdc20,Cd28,Zik1,Col6a5
588,Togaram2,Ppil6,Plekha7,Cd3e,Ifi209,Rsph4a,Has2,Gprc5c,Trim68,Cyp11b1,Lrrc36,Rem1,Atp13a2,Twist1,Grp,Col16a1,Casc1,Ddn,Lilrb4a,Piezo1
589,Sema4d,Obscn,Opalin,Catip,Obscn,Fam216b,Troap,Bcl2l12,Atf3,Igkv1-122,Ccdc153,Ttc21a,Morc2b,Akap14,Ccdc81,Cacnb3,H2-Q1,Gal,Ttll6,Iqcd
590,Flna,Rbm24,Cacnb3,Tnnt1,Pi16,Ak7,Hsd17b1,Map3k9,Man1a,Cdc20,Ttll9,Lta,Grin2a,Ak9,Nr4a3,Cxcl13,Ighg2b,Fank1,Myl2,Pth2r
591,Fabp3,Map3k7cl,Gpr37,Jph2,Iglc1,Dusp5,Ccl12,Mest,Tsga10,Ubash3a,Lta,Sdc1,Ifi47,Slc14a2,Dusp1,Nkx6-1,Slc4a1,Comp,Ifi211,Myo18b
592,Tnnc1,Fam166b,Rasal1,Lrrc43,H2-DMb2,Col28a1,Mmp25,Fam178b,Cnksr3,Isg20,Calml4,Syt10,Helz2,Map3k1,Gtse1,S100a8,Il2ra,Map3k7cl,Ccr6,Alpk3
593,Kit,Fank1,Onecut2,Ccdc65,Cfap54,Cd3e,Ces2g,Ptprn2,Hcls1,Neurl1b,Mycbpap,Dnali1,Ccdc39,Tchh,Pi15,Camp,Acap1,Rbm24,Sdc1,Troap
594,Rsph10b,Nmu,Sox17,Cfap47,Fam129c,Smim5,Pdcd1lg2,Rnf213,Tap1,Ccdc89,Rsph4a,Meig1,Foxp1,Fsip1,Ccdc146,Syt15,Clec14a,Fam166b,Mak,Zfp474
595,Nrg1,Tuba1c,Fxyd7,Th,Ccdc89,Catip,Fam167a,Zc3hav1,Erbb3,Lyz1,Meig1,Rsph4a,Agbl4,Ebf1,Kcnmb1,Acss3,Mrgprh,Nmu,Spag16,Tnfaip3
596,Apcdd1,Dnah6,Apcdd1,Pmp2,Egr2,Lrrc43,Sema3b,Chrm2,Hspb6,Prg4,Tk1,Cdca3,Tnfaip8,Sgsm1,Ccl4,Ubxn11,Mmp13,Dnah6,Hoxc13,Ccdc170
597,Sema3e,Aox3,Gjc2,Tekt1,Ccl3,Ccdc65,Fam124b,Lmo3,Clmn,Gmnc,T2,Btk,Rasgrf2,Ccn1,Efhc1,Cdc20,Cd5l,Postn,Spag8,Zbtb42
598,Chrm2,Trh,Ccdc141,Rsph1,B3gnt4,Cfap47,Ushbp1,Slc32a1,Tprn,Rnf138rt1,Tmprss5,Fam216b,Tcf7l2,Hhex,Rgs1,Ltf,Chrnb4,Igha,Gprc5c,Ucn
599,Pacrg,Hist1h1b,Trim66,Dynlrb2,Tnfaip3,Th,Acvrl1,Mgat5b,Rassf10,Wdr63,Fam216b,Ak7,Cacna1g,Pdlim3,Fam92b,Lhx6,Cdca8,Ifi205,Fcrl1,Cd6
600,Tmem108,Celsr1,Hs3st1,Flnc,Comp,Dynlrb2,Cdkn3,Kcnab3,Tent5a,Igkv4-72,Cd3e,Apobec2,Apoc1,H2-M3,Sypl2,Fam129c,Swap70,Zmynd10,Neu4,Myom1
601,Eogt,Clec14a,Osbp2,Tsga10,Fank1,Tekt1,Ddx60,Hrk,Mgat5b,Osr2,Apobec2,Cpne4,Gpc1,Cadm1,Rab38,Slc24a5,Hist1h2ap,Slc10a4,Cfap43,Lrg1
602,Wdr78,Fam169b,Tmem63a,Nr4a3,Fam166b,Rsph1,Mef2b,Scnn1a,Xaf1,Wnt16,Ccdc96,Lrrc43,Nrg1,Pcsk4,Acta2,Zfp318,Hsh2d,Lta,Tnf,Gas2l2
603,Hs3st2,Lrrc36,Oprd1,F2r,Rbm24,Ngfr,Tnnt1,Klhl10,Inhba,Pitx2,Des,Tnnt1,Tbx2,Tspoap1,Clec2i,Smtn,Cfap52,Rsph4a,Lrguk,Nek5
604,Cpne4,Slc10a4,Tmem108,Ngfr,Nmu,Nr4a3,Ston1,Star,Frmd4a,Zfp442,Stab1,Jph2,Slc6a20a,Apobec3,Fcrl1,Ccdc3,Zfp273,Dnali1,Sapcd2,Mmp25
605,Unc5cl,Hrk,Oasl2,Mndal,Pmp2,Efhc1,Ildr1,Fam92b,Mycl,Klra2,Catip,Uts2,Nos1,Hspa12a,Spag6l,Angptl1,Angptl7,Rrm2,Pih1d2,Eppk1
606,Cfap54,Pde4c,Notch3,Myh1,Dnah6,Enkur,Ms4a4d,Baiap2l1,Ppp1r18,Knl1,Tnnt1,Ccdc65,Ccn1,Spata18,Lrriq1,F2r,Klhl40,Fam216b,Tmem212,Myh7
607,Lingo4,Egr2,Tcof1,Ccl4,Ptprcap,Ctla2a,Epcam,Artn,Prom1,Tsnaxip1,Jph2,Th,Rab15,Sema6a,Lrrc74b,Phf11b,Clec18a,Dusp5,Cfap61,Cdca3
608,Egfl7,Slc18a3,Sh3bp4,Enkur,Stra6,Ntn4,Cd300lb,Has1,Tmem125,Nanos3,Sema3e,Spag8,Npas1,Cfap57,Dnah10,Hist1h2ap,Tbata,Ak7,Pgam2,Perp
